City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,fada,7.25,4.0667,35.37,49,40,1.54,NG,1738939826
141,san luis de la loma,17.2706,-100.8939,27.03,57,90,0.42,MX,1738939827
142,ouarzazat,30.9189,-6.8934,18.16,15,0,1.03,MA,1738939828
143,tura,25.5198,90.2201,15.32,26,0,1.08,IN,1738939829
144,coromandel,-18.4733,-47.2003,27.27,55,0,1.86,BR,1738939647
145,flying fish cove,-10.4217,105.6791,26.82,94,75,3.6,CX,1738939581
146,xining,36.6167,101.7667,-8.94,66,100,1.56,CN,1738939833
147,togur,58.3631,82.8265,-19.19,100,88,1.78,RU,1738939834
148,coquimbo,-29.9533,-71.3436,18.88,76,75,4.12,CL,1738939215
149,simpang,-1.2667,104.0833,24.21,93,51,1.17,ID,1738939836
150,charcas,23.1333,-101.1167,12.15,89,50,1.23,MX,1738939578
151,nova sintra,14.8667,-24.7167,22.61,67,0,8.56,CV,1738939838
152,holualoa,19.6228,-155.9522,18.82,86,14,0.89,US,1738939839
153,pozo del molle,-32.0186,-62.9198,34.85,21,1,4.46,AR,1738939840
154,misliyah,17.4599,42.5572,27.08,63,1,5.06,SA,1738939842
155,sinan,34.8262,126.1086,-2.64,79,100,15.15,KR,1738939843
156,bontang,0.1333,117.5,25.93,88,88,3.18,ID,1738939844
157,alice springs,-23.7,133.8833,29.75,32,75,1.03,AU,1738939845
158,hami,42.8,93.45,-2.65,30,100,2.01,CN,1738939846
159,enewetak,11.3474,162.3373,26.89,68,92,6.39,MH,1738939848
160,ambodifotatra,-16.9833,49.85,28.75,74,58,3.2,MG,1738939849
161,weno,7.4515,151.8468,27.97,78,75,3.6,FM,1738939851
162,khandyga,62.6667,135.6,-45.11,100,72,0.94,RU,1738939852
163,cururupu,-1.8283,-44.8683,26.48,88,100,1.58,BR,1738939853
164,kyzyl-mazhalyk,51.1333,90.6,-23.71,96,82,0.34,RU,1738939854
165,ulsteinvik,62.3432,5.8487,7.07,80,8,2.14,NO,1738939855
166,tual,-5.6667,132.75,28.44,80,80,7.88,ID,1738939856
167,hilo,19.7297,-155.09,19.85,99,100,1.54,US,1738939582
168,tongliao,43.6125,122.2653,-12.99,66,98,6.53,CN,1738939859
169,tena,-0.9833,-77.8167,21.09,90,98,0.52,EC,1738939860
170,plettenberg bay,-34.0527,23.3716,26.14,68,20,4.54,ZA,1738939861
171,waingapu,-9.6567,120.2641,26.5,81,100,4.99,ID,1738939862
172,lebu,-37.6167,-73.65,18.71,67,6,5.28,CL,1738939698
173,tateyama,34.9833,139.8667,6.83,47,81,15.0,JP,1738939864
174,sanctuary point,-35.1114,150.629,21.62,77,69,2.79,AU,1738939865
175,melfort,52.8667,-104.6177,-18.93,71,40,2.06,CA,1738939866
176,jesus maria,-30.9815,-64.0942,32.18,36,0,5.37,AR,1738939868
177,ust-nera,64.5667,143.2,-40.06,99,66,1.34,RU,1738939869
178,susuman,62.7833,148.1667,-41.35,97,74,0.12,RU,1738939870
179,kalyani,22.9833,88.4833,19.77,16,0,2.01,IN,1738939871
180,ushuaia,-54.8,-68.3,7.81,71,75,8.23,AR,1738939672
181,selebi-phikwe,-21.979,27.8498,30.52,24,0,6.15,BW,1738939873
182,olyokminsk,60.3736,120.4264,-37.06,100,90,0.63,RU,1738939874
183,bilibino,68.0546,166.4372,-43.74,100,59,0.79,RU,1738939875
184,wailua homesteads,22.0669,-159.378,18.44,94,75,2.06,US,1738939876
185,ada,43.4166,-116.1262,-0.19,95,100,1.54,US,1738939878
186,brookings,44.3114,-96.7984,-9.41,73,100,1.54,US,1738939873
187,alamogordo,32.8995,-105.9603,16.12,20,0,1.54,US,1738939881
188,west island,-12.1568,96.8225,27.99,78,20,9.26,CC,1738939882
189,bedesa,8.9,40.7833,24.39,31,75,2.11,ET,1738939883
190,igarka,67.4667,86.5833,-11.38,95,100,6.57,RU,1738939884
191,tsaratanana,-16.7833,47.65,27.43,80,79,0.21,MG,1738939886
192,antsiranana,-12.2787,49.2917,30.42,66,40,3.09,MG,1738939887
193,haiku-pauwela,20.9219,-156.3051,21.69,83,31,5.36,US,1738939888
194,igrim,63.1906,64.4162,-7.68,90,67,4.41,RU,1738939889
195,marsh harbour,26.5412,-77.0636,23.5,70,0,3.27,BS,1738939890
196,nueva palestina,15.8,-92.75,23.26,59,22,1.91,MX,1738939891
197,berezovyy,51.6667,135.7,-13.43,74,100,3.45,RU,1738939892
198,pianco,-7.1981,-37.9292,32.58,38,100,2.81,BR,1738939848
199,quellon,-43.1167,-73.6167,17.15,60,93,3.74,CL,1738939620
200,utrik,11.2278,169.8474,26.18,77,51,7.49,MH,1738939896
201,sumbawa besar,-8.5,117.4333,23.72,93,100,1.7,ID,1738939897
202,umluj,25.0213,37.2685,18.97,62,2,8.02,SA,1738939898
203,nakamura,32.9833,132.9333,-1.31,66,100,2.91,JP,1738939899
204,gamboula,4.1178,15.1393,36.71,15,32,2.82,CF,1738939900
205,hawaiian paradise park,19.5933,-154.9731,19.73,99,100,1.54,US,1738939901
206,tsiombe,-25.3,45.4833,27.03,84,90,3.5,MG,1738939903
207,beeville,28.4008,-97.7483,22.01,88,100,4.12,US,1738939904
208,page,36.9147,-111.4558,7.88,49,0,3.09,US,1738939905
209,faya-largeau,17.9257,19.1043,28.94,12,60,9.77,TD,1738939906
210,kondagaon,19.6,81.6667,20.53,35,2,2.77,IN,1738939909
211,callao,-12.0667,-77.15,26.51,94,100,2.57,PE,1738939545
212,port alfred,-33.5906,26.891,25.66,80,0,3.58,ZA,1738939912
213,seybaplaya,19.65,-90.6667,24.2,72,6,4.05,MX,1738939913
214,mahoba,25.2833,79.8667,16.68,20,67,3.18,IN,1738939915
215,fenoarivo be,-18.4333,46.5667,22.33,86,100,0.46,MG,1738939916
216,mar del plata,-38.0023,-57.5575,28.62,73,0,4.12,AR,1738939575
217,afua,-0.1567,-50.3867,25.9,90,98,1.91,BR,1738939918
218,charters towers,-20.1,146.2667,22.14,98,100,2.73,AU,1738939919
219,shakhtinsk,49.71,72.5872,-16.42,89,14,7.27,KZ,1738939920
220,mana,5.6592,-53.7767,27.56,76,97,4.46,GF,1738939921
221,la passe,45.5549,-0.8967,7.27,88,100,7.54,FR,1738939922
222,gizo,-8.103,156.8419,28.04,78,100,3.85,SB,1738939924
223,mawlamyinegyunn,16.3833,95.2667,23.75,58,66,2.92,MM,1738939926
224,sechura,-5.5569,-80.8222,25.49,71,83,1.24,PE,1738939927
225,saipan,15.1355,145.701,25.92,85,40,4.92,MP,1738939928
226,bukama,-9.2,25.85,23.58,88,100,0.08,CD,1738939929
227,miyako,39.6367,141.9525,-2.08,55,64,4.0,JP,1738939931
228,chuka,-0.3332,37.6459,24.75,45,53,3.09,KE,1738939932
229,queenstown,-31.8976,26.8753,24.47,59,70,1.12,ZA,1738939933
230,manhattan,40.7834,-73.9662,6.12,47,20,8.23,US,1738939723
231,batibo,5.8358,9.8553,32.93,17,73,1.88,CM,1738939935
232,colonia,50.9333,6.95,5.54,64,100,5.14,DE,1738939936
233,rio preto da eva,-2.6994,-59.6997,28.77,72,94,2.31,BR,1738939938
234,sola,-13.8833,167.55,27.57,80,93,6.5,VU,1738939939
235,port macquarie,-31.4333,152.9167,19.48,94,0,0.45,AU,1738939940
236,horta,38.5333,-28.6333,15.57,95,75,9.26,PT,1738939941
237,labasa,-16.4167,179.3833,25.23,87,100,1.79,FJ,1738939942
238,sinop,41.7711,34.8709,-1.0,97,98,2.27,TR,1738939943
239,hampton bays,40.869,-72.5176,5.59,62,86,8.49,US,1738939945
240,margate,51.3813,1.3862,4.27,79,100,3.13,GB,1738939841
241,freeport,40.6576,-73.5832,6.68,49,75,5.14,US,1738939855
242,malakal,9.5334,31.6605,35.55,14,99,3.43,SS,1738939948
243,ancud,-41.8697,-73.8203,15.82,57,20,3.08,CL,1738939719
244,saint-pierre,-21.3393,55.4781,29.82,74,75,5.66,RE,1738939950
245,molde,62.7375,7.1591,2.91,81,0,2.06,NO,1738939951
246,el calafate,-50.3408,-72.2768,8.47,60,100,1.23,AR,1738939952
247,dampit,-8.2116,112.7493,22.55,95,100,0.98,ID,1738939954
248,port alberni,49.2413,-124.8028,-4.48,97,81,0.89,CA,1738939955
249,ribnitz-damgarten,54.25,12.4667,5.05,79,100,1.34,DE,1738939956
250,aioun,16.6614,-9.6149,28.02,10,0,6.23,MR,1738939957
251,vila velha,-20.3297,-40.2925,30.97,55,20,6.17,BR,1738939859
252,luderitz,-26.6481,15.1594,21.14,73,8,5.69,NA,1738939959
253,afaahiti,-17.75,-149.2833,25.89,79,31,4.52,PF,1738939961
254,vilyuchinsk,52.9306,158.4028,-4.85,92,100,3.47,RU,1738939962
255,ondjiva,-17.0667,15.7333,27.89,50,100,1.97,AO,1738939963
256,devils lake,48.1128,-98.8651,-17.81,79,40,3.6,US,1738939737
257,port blair,11.6667,92.75,27.02,74,40,2.06,IN,1738939965
258,nyrob,60.733,56.7202,-16.68,100,97,1.25,RU,1738939966
259,uray,60.1247,64.7758,-13.86,98,54,2.28,RU,1738939967
260,omidiyeh,30.7597,49.705,17.93,34,75,5.14,IR,1738939969
261,ust-tsilma,65.441,52.1498,-2.03,91,96,4.91,RU,1738939970
262,port douglas,-16.4833,145.4667,25.74,92,100,0.68,AU,1738939971
263,nouadhibou,20.931,-17.0347,24.99,29,0,6.17,MR,1738939972
264,lockwood,45.8191,-108.4149,-13.1,84,100,6.17,US,1738939973
265,barcelos,41.5388,-8.6151,11.95,82,63,6.15,PT,1738939974
266,carnarvon,-24.8667,113.6333,26.65,77,3,7.88,AU,1738939975
267,la ceiba,15.7597,-86.7822,23.9,88,20,1.03,HN,1738939977
268,gaigeturi,33.4644,126.3183,-0.97,86,75,7.2,KR,1738939978
269,kragujevac,44.0167,20.9167,3.41,45,8,5.95,RS,1738939979
270,nuku'alofa,-21.1333,-175.2,27.19,94,75,4.12,TO,1738939980
271,port augusta,-32.5,137.7667,20.45,69,45,7.83,AU,1738939981
272,tolanaro,-25.0319,46.9987,29.04,79,40,7.2,MG,1738939982
273,kapuskasing,49.4169,-82.4331,-11.95,79,100,8.23,CA,1738939983
274,whistler,50.1164,-122.9695,-13.87,89,22,1.74,CA,1738939796
275,aktau,43.65,51.2,-2.68,48,61,8.52,KZ,1738939718
276,hakone,35.1833,139.0333,-2.71,51,65,3.75,JP,1738939987
277,talnakh,69.4865,88.3972,-14.67,96,100,6.47,RU,1738939988
278,lospalos,-8.5186,127.0025,23.66,87,95,5.95,TL,1738939989
279,pathein,16.7833,94.7333,21.77,71,42,1.8,MM,1738939990
280,caribou,46.8606,-68.012,-1.08,73,75,5.14,US,1738939991
281,puerto colombia,10.9878,-74.9547,28.05,69,97,7.3,CO,1738939992
282,zaozersk,69.4005,32.4476,3.76,85,100,11.08,RU,1738939993
283,gaogou,34.0175,119.1886,-6.83,18,1,3.71,CN,1738939994
284,klamath falls,42.2249,-121.7817,-1.05,80,100,4.63,US,1738939996
285,papao,-17.75,-149.55,25.82,76,36,4.37,PF,1738939997
286,san patricio,28.017,-97.5169,21.97,85,0,4.66,US,1738939999
287,bani walid,31.7566,13.9942,15.17,53,100,10.07,LY,1738940000
288,arawa,-6.2132,155.5367,25.52,91,98,0.87,PG,1738940001
289,nova vicosa,-17.8919,-39.3719,28.87,64,100,3.73,BR,1738939938
290,prado,-17.3411,-39.2208,29.13,61,100,3.43,BR,1738940004
